,日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
156,2015/03/23,陽明,PM2.5,28,26,30,31,33,32,30,12,6,2,2,0,4,13,1,2,2,1,5,0,2,1,4,0
157,2015/03/24,陽明,PM2.5,1,0,1,1,1,1,1,2,6,2,4,1,0,0,2,0,4,1,2,5,9,11,9,4
158,2015/03/25,陽明,PM2.5,1,2,0,0,1,2,5,1,2,1,1,1,1,13,13,0,4,1,0,1,2,1,1,2
159,2015/03/26,陽明,PM2.5,1,1,1,4,2,4,2,5,2,2,2,4,0,0,0,0,0,1,1,5,7,5,4,2
160,2015/03/27,陽明,PM2.5,2,1,1,1,2,2,1,2,2,0,0,0,14,0,13,1,1,12,1,4,8,8,8,10
161,2015/03/28,陽明,PM2.5,11,10,9,10,12,11,13,14,14,14,13,12,20,14,13,14,17,8,9,11,17,17,14,18
162,2015/03/29,陽明,PM2.5,18,19,20,9,10,10,11,12,13,13,23,17,21,14,17,19,18,16,12,18,18,16,14,14
163,2015/03/30,陽明,PM2.5,10,11,13,17,11,13,13,21,19,14,14,21,29,29,33,34,37,31,29,30,24,22,16,19
164,2015/03/31,陽明,PM2.5,17,16,14,17,14,12,19,19,19,19,16,14,31,24,12,13,18,12,17,13,16,20,16,23
165,2015/04/01,陽明,PM2.5,22,23,17,23,18,10,28,11,14,14,11,14,29,13,42,36,39,10,20,41,34,31,32,7
166,2015/04/02,陽明,PM2.5,13,8,24,6,7,16,12,25,23,19,11,36,47,32,31,29,14,24,17,18,14,23,23,14
167,2015/04/03,陽明,PM2.5,11,9,1,4,17,17,11,16,29,35,25,24,29,29,35,30,21,18,23,19,28,32,30,19
168,2015/04/04,陽明,PM2.5,11,10,14,23,23,20,28,35,25,29,31,33,25,28,29,24,33,26,29,29,29,26,24,22
169,2015/04/05,陽明,PM2.5,23,24,24,18,22,25,24,21,25,33,41,33,29,31,31,41,31,25,26,23,13,6,2,6
